"Status","Goal","Recommended Foods","Meal Pattern","Snack Ideas","Avoid","Activity / Tip","Key Nutrients","Category","Sort Order","ID","Created Date","Updated Date","Owner"
"Stunted","Support linear (height) growth through micronutrient-rich foods","Eggs, fish, liver, green leafy vegetables (spinach, methi), fortified cereals, curd, paneer, soybean, ragi","Ensure protein in every meal — dal, paneer, eggs, soybean; 3 meals + 2 protein-rich snacks","Boiled egg, paneer cubes, peanut chikki, ragi porridge, banana with peanut butter","Empty-calorie foods that displace nutrient-rich foods; excess tea/coffee (blocks iron absorption)","Pediatric evaluation for iron/zinc/vitamin A supplements; stunting results from chronic undernutrition — consistent diet changes over months are key","Iron (spinach, jaggery), Zinc (pumpkin seeds, chickpeas), Vitamin A (carrots, mango, sweet potato), Calcium (milk, ragi), Protein","Status-Based",5,"940aa485-22d5-4248-a2cf-dec7eac2ac72",2026-02-18T01:45:34Z,2026-02-18T01:45:34Z,
"1-2 Years","Transition to family foods with appropriate textures","Family foods — roti, rice, dal, vegetables, fruits, whole milk, curd, egg, fish, chicken (if non-veg)","3 meals + 2 snacks per day; offer variety at each meal","Fruit slices, cheese toast, ragi dosa, boiled egg, curd with mashed fruit","Choking hazards, excess sugar/salt, packaged juices, junk food","Encourage self-feeding with spoon; establish regular meal times; whole milk (not low-fat) at this age","Protein, calcium, iron, healthy fats, vitamins A & D","Age-Based Guide",13,"947930f8-58d9-4f9f-a0f7-26d443607bba",2026-02-18T01:45:38Z,2026-02-18T01:45:38Z,
"6-8 Months","Introduce complementary foods alongside breastfeeding","Mashed/pureed foods — rice cereal, mashed banana, boiled & mashed potato, dal water, apple puree, suji kheer","2-3 meals per day + breast milk; start with 2-3 tablespoons, gradually increase","Mashed banana, boiled carrot puree, rice porridge","Honey, salt, sugar, whole nuts, cow's milk as main drink","Introduce one new food at a time; wait 3 days before trying another to watch for allergies","Iron-fortified cereals, vitamin C-rich fruits to aid iron absorption","Age-Based Guide",11,"a829ac22-c716-4eee-a396-060d21320992",2026-03-15T05:53:57Z,2026-03-15T05:53:57Z,
"Healthy","Maintain balanced growth with nutritious, varied diet","🍎 Seasonal fruits | 🥗 Vegetables | 🫘 Dal/Lentils | 🥛 Milk & Yogurt | 🍚 Rice & Roti | 🥚 Eggs | 🐟 Fish | 🌾 Whole grains","HOW TO EAT: 3 meals + 2 healthy snacks per day at consistent times. Use balanced plate: 1/2 vegetables-fruits, 1/4 protein, 1/4 grains. Family meals without pressure feeding. Child decides their own appetite.

MEAL IDEAS: Fresh fruit slices | Sprouts chaat | Idli with sambar | Poha (flattened rice) | Curd with fruits | Boiled egg","Fresh fruit | Sprouts chaat | Idli | Poha | Curd with fruits | Boiled egg | Whole grain toast with curd","Excessive sugary snacks, processed foods, sugary drinks; maintain moderation","60+ minutes active outdoor play daily; regular pediatric check-ups every 6 months; encourage sports or dance","Balanced macros — protein, carbs, healthy fats, vitamins, minerals","Status-Based",2,"b33b5808-3550-4d66-a1c5-2a1f2fa66b19",2026-03-15T05:53:53Z,2026-03-15T05:53:53Z,
"Underweight","Healthy weight gain through calorie-dense, nutrient-rich foods","🥛 Whole milk | 🧀 Cheese & Paneer | 🥚 Eggs | 🥜 Peanut butter | 🍌 Bananas | 🥑 Avocado | 🍠 Sweet potato | 🌰 Nuts (crushed)","HOW TO EAT: Offer 5-6 small meals/snacks instead of 3 large meals. Add one calorie booster per meal (ghee, nut powder, cheese). Do not give excess water before meals. Track weight monthly.

MEAL IDEAS: Banana milkshake with full-fat milk | Dry fruits ladoo with ghee | Cheese toast with butter | Sooji halwa with ghee | Makhana with ghee","Dry fruits ladoo | Banana milkshake | Cheese toast | Sooji halwa | Makhana with ghee | Ragi porridge | Dal khichdi with ghee","Junk food that fills stomach without nutrition; excessive water before meals; low-calorie snacks","Monitor weight monthly; consult pediatrician if no weight gain in 2 months; light play, no vigorous exercise","Calories, healthy fats, protein, iron, calcium","Status-Based",1,"cc6c9c06-6233-4f72-93e4-34a3988dd2c1",2026-03-15T05:53:52Z,2026-03-15T05:53:52Z,
"Underweight","Healthy weight gain through calorie-dense, nutrient-rich foods","Whole milk, cheese, paneer, eggs, ghee, peanut butter, bananas, avocado, ragi porridge, dal khichdi, sweet potato, nuts","5-6 small meals per day instead of 3 large ones","Dry fruits ladoo, banana milkshake, cheese toast, sooji halwa, makhana with ghee","Junk food that fills stomach without nutrition; excessive water before meals","Monitor weight monthly; consult pediatrician if no weight gain in 2 months","Calories, healthy fats, protein, iron, calcium","Status-Based",1,"cd3e3af1-1bd0-46c7-83a0-02112e06c2a3",2026-02-18T01:45:29Z,2026-02-18T01:45:29Z,
"Stunted","Support linear (height) growth through micronutrient-rich foods","🥚 Eggs | 🐟 Fish & liver | 🌿 Green leafy vegetables (spinach, methi) | 🍚 Fortified cereals | 🧀 Paneer & curd | 🫘 Soybean | 🌾 Ragi","HOW TO EAT: Keep regular meal times; include protein in EVERY meal. Breakfast: egg + ragi porridge + milk. Lunch/Dinner: dal/paneer/fish + vegetable + roti/rice. Pair iron foods with vitamin C foods (lemon, orange, guava). 3 meals + 2 protein-rich snacks daily.

MEAL IDEAS: Boiled egg with ragi porridge | Paneer curry with spinach & roti | Fish with orange lentils | Soybean dal with whole wheat roti | Banana with peanut butter","Boiled egg | Paneer cubes | Peanut chikki | Ragi porridge | Banana with peanut butter | Sprout chaat | Curd","Empty-calorie foods (junk, sugary snacks); excess tea/coffee (blocks iron absorption); processed foods","Pediatric evaluation for iron/zinc/vitamin A supplements; stunting from chronic undernutrition—consistent diet improvements over 3-6 months show results; regular monitoring essential","🔴 Iron (spinach, liver, jaggery) | 🔵 Zinc (pumpkin seeds, chickpeas) | 🟡 Vitamin A (carrots, mango, sweet potato) | 🟢 Calcium (milk, ragi) | ⚪ Protein","Status-Based",5,"d22c2cca-3040-42b0-ad89-661f70972445",2026-03-15T05:53:56Z,2026-03-15T05:53:56Z,
"9-12 Months","Expand food variety with soft, chopped textures","Soft chopped foods, finger foods — khichdi, dalia, soft idli, mashed egg, small pieces of soft fruit, paneer cubes","3 meals + 1 snack per day + breast milk","Soft fruit pieces, cheese cubes, rusk, small roti pieces with dal","Honey (till 12 months), choking hazards (whole grapes, nuts, popcorn), added salt/sugar","Let baby self-feed with fingers to develop motor skills; continue breastfeeding","Protein (egg, dal), Iron, Zinc, Calcium","Age-Based Guide",12,"e43d2b9c-8ce1-4930-9f2a-ab1f977a499e",2026-03-15T05:53:58Z,2026-03-15T05:53:58Z,
"0-6 Months","Exclusive breastfeeding — no water, no other food needed","Breast milk only (or formula if medically advised)","On-demand feeding, 8-12 times per day","Not applicable at this age","Water, honey, solid foods, cow's milk, fruit juice","Tummy time for development; regular weight monitoring","All nutrients provided by breast milk","Age-Based Guide",10,"e91774cb-a125-4b5d-86b9-0930dea6f626",2026-03-15T05:53:56Z,2026-03-15T05:53:56Z,
"9-12 Months","Expand food variety with soft, chopped textures","Soft chopped foods, finger foods — khichdi, dalia, soft idli, mashed egg, small pieces of soft fruit, paneer cubes","3 meals + 1 snack per day + breast milk","Soft fruit pieces, cheese cubes, rusk, small roti pieces with dal","Honey (till 12 months), choking hazards (whole grapes, nuts, popcorn), added salt/sugar","Let baby self-feed with fingers to develop motor skills; continue breastfeeding","Protein (egg, dal), Iron, Zinc, Calcium","Age-Based Guide",12,"ff252a3d-0bde-4185-a6e0-50d4221d6fb4",2026-02-18T01:45:37Z,2026-02-18T01:45:37Z,
